id,logged_at,alert_zone,alert_message,spy_price,snap_level,snap_distance,snap_direction,regime,bias,net_gex,net_dex
24,2026-03-11T17:32:50,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
25,2026-03-11T17:32:50,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
26,2026-03-11T17:32:51,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
27,2026-03-11T17:32:51,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
28,2026-03-11T17:32:52,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
29,2026-03-11T17:32:52,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
30,2026-03-11T17:32:53,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
31,2026-03-11T17:32:53,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
32,2026-03-11T17:32:54,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
33,2026-03-11T17:32:54,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
34,2026-03-11T17:32:55,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
35,2026-03-11T17:32:55,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
36,2026-03-11T17:32:56,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
37,2026-03-11T17:32:57,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
38,2026-03-11T17:32:57,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
39,2026-03-11T17:32:58,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
40,2026-03-11T17:32:58,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
41,2026-03-11T17:32:59,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
42,2026-03-11T17:32:59,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
43,2026-03-11T17:33:00,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
44,2026-03-11T17:33:00,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
45,2026-03-11T17:33:01,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
46,2026-03-11T17:33:01,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
47,2026-03-11T17:33:02,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
48,2026-03-11T17:33:02,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
49,2026-03-11T17:33:03,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
50,2026-03-11T17:33:03,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
51,2026-03-11T17:33:04,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
52,2026-03-11T17:33:04,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
53,2026-03-11T17:33:05,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
54,2026-03-11T17:33:05,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
55,2026-03-11T17:33:06,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
56,2026-03-11T17:33:07,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
57,2026-03-11T17:33:07,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
58,2026-03-11T17:33:08,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
59,2026-03-11T17:33:08,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
60,2026-03-11T17:33:09,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
61,2026-03-11T17:33:09,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
62,2026-03-11T17:33:10,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
63,2026-03-11T17:33:10,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
64,2026-03-11T17:33:11,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
65,2026-03-11T17:33:11,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
66,2026-03-11T17:33:12,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
67,2026-03-11T17:33:12,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
68,2026-03-11T17:33:13,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
69,2026-03-11T17:33:13,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
70,2026-03-11T17:33:14,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
71,2026-03-11T17:33:14,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
72,2026-03-11T17:33:15,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
73,2026-03-11T17:33:15,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
74,2026-03-11T17:33:16,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
75,2026-03-11T17:33:17,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
76,2026-03-11T17:33:17,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
77,2026-03-11T17:33:18,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
78,2026-03-11T17:33:18,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
79,2026-03-11T17:33:19,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
80,2026-03-11T17:33:19,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
81,2026-03-11T17:33:20,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
82,2026-03-11T17:33:20,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
83,2026-03-11T17:33:21,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
84,2026-03-11T17:33:21,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
85,2026-03-11T17:33:22,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
86,2026-03-11T17:33:22,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
87,2026-03-11T17:33:23,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
88,2026-03-11T17:33:24,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
89,2026-03-11T17:33:24,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
90,2026-03-11T17:33:25,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
91,2026-03-11T17:33:26,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
92,2026-03-11T17:33:26,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
93,2026-03-11T17:33:27,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
94,2026-03-11T17:33:27,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
95,2026-03-11T17:33:28,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
96,2026-03-11T17:33:28,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
97,2026-03-11T17:33:29,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
98,2026-03-11T17:33:29,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
99,2026-03-11T17:33:30,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
100,2026-03-11T17:33:30,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
101,2026-03-11T17:33:31,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
102,2026-03-11T17:33:31,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
103,2026-03-11T17:33:32,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
104,2026-03-11T17:33:32,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
105,2026-03-11T17:33:33,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
106,2026-03-11T17:33:34,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
107,2026-03-11T17:33:34,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
108,2026-03-11T17:33:35,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
109,2026-03-11T17:33:36,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
110,2026-03-11T17:33:36,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
111,2026-03-11T17:33:37,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
112,2026-03-11T17:33:37,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
113,2026-03-11T17:33:38,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
114,2026-03-11T17:33:38,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
115,2026-03-11T17:33:39,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
116,2026-03-11T17:33:39,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
117,2026-03-11T17:33:40,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
118,2026-03-11T17:33:40,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
119,2026-03-11T17:33:41,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
120,2026-03-11T17:33:41,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
121,2026-03-11T17:33:42,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
122,2026-03-11T17:33:42,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
123,2026-03-11T17:33:43,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
124,2026-03-11T17:33:43,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
125,2026-03-11T17:33:44,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
126,2026-03-11T17:33:44,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
127,2026-03-11T17:33:45,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
128,2026-03-11T17:33:46,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
129,2026-03-11T17:33:46,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
130,2026-03-11T17:33:47,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
131,2026-03-11T17:33:47,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
132,2026-03-11T17:33:48,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
133,2026-03-11T17:33:48,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
134,2026-03-11T17:33:49,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
135,2026-03-11T17:33:49,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
136,2026-03-11T17:33:50,critical,&#9889; SNAP CRITICAL — $0.75 from flip at $6769! Dealer positioning about to reverse bearish,6769.75,6769,0.75,Below,SNAP IMMINENT,Bearish,0.0,0.0
